id_resultado;id_amostra;id_ponto_coleta;id_parametro;id_responsavel;data_coleta;data_analise;valor_resultado;id_limite;valor_minimo;valor_maximo;referencia_normativa;classificacao_resultado;possui_limite_referencia;indicador_nao_conforme;metodo_analise
50;5;5;2;1;2026-04-03;2026-04-08;25.0;39.0;;40.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
51;5;5;3;1;2026-04-03;2026-04-08;6.0;40.0;5.0;;Limite didatico do projeto;Conforme;1;0;Metodo didatico
52;5;5;4;1;2026-04-03;2026-04-08;3.0;41.0;;5.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
53;5;5;5;1;2026-04-03;2026-04-08;12.0;42.0;;20.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
54;5;5;6;1;2026-04-03;2026-04-08;1500.0;43.0;;1000.0;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
55;5;5;7;1;2026-04-03;2026-04-08;26.0;44.0;15.0;35.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
56;5;5;8;1;2026-04-03;2026-04-08;400.0;45.0;;750.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
57;5;5;9;1;2026-04-03;2026-04-08;250.0;46.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
58;5;5;10;1;2026-04-03;2026-04-08;1.2;;;;;Sem limite de referencia;0;;Metodo didatico
59;5;5;11;1;2026-04-03;2026-04-08;0.08;47.0;;0.15;Limite didatico do projeto;Conforme;1;0;Metodo didatico
60;5;5;12;1;2026-04-03;2026-04-08;0.0;;;;;Sem limite de referencia;0;;Metodo didatico
61;6;6;1;4;2026-04-03;2026-04-09;7.6;10.0;6.0;9.5;Limite didatico do projeto;Conforme;1;0;Metodo didatico
62;6;6;2;4;2026-04-03;2026-04-09;8.0;11.0;;5.0;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
63;6;6;3;4;2026-04-03;2026-04-09;6.8;;;;;Sem limite de referencia;0;;Metodo didatico
64;6;6;4;4;2026-04-03;2026-04-09;2.0;;;;;Sem limite de referencia;0;;Metodo didatico
65;6;6;5;4;2026-04-03;2026-04-09;12.0;12.0;;20.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
66;6;6;6;4;2026-04-03;2026-04-09;0.0;13.0;;1.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
67;6;6;7;4;2026-04-03;2026-04-09;24.0;14.0;15.0;35.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
68;6;6;8;4;2026-04-03;2026-04-09;320.0;15.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
69;6;6;9;4;2026-04-03;2026-04-09;210.0;16.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
70;6;6;10;4;2026-04-03;2026-04-09;0.9;17.0;;1.5;Limite didatico do projeto;Conforme;1;0;Metodo didatico
71;6;6;11;4;2026-04-03;2026-04-09;0.2;18.0;;0.1;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
72;6;6;12;4;2026-04-03;2026-04-09;0.8;19.0;0.2;2.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
